exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd
dydx,ISOLATED,DEGEN-USD,20,0.003484,0.0,0.0,0.0
drift,CROSS,DEMOCRATS-USD,1,1e-06,0.0,0.0,0.0
drift,CROSS,DOGE-USD,10,0.212418,352835.467899,6023272.0,1279451.391696
dydx,CROSS,DOGE-USD,10,0.21369431475,1695396.222,7873900.0,1682607.664910025
hyperliquid,CROSS,DOGE-USD,10,0.21132,75887403.43973005,598035623.1270112,126376887.8792
hyperliquid,CROSS,DOOD-USD,3,0.003046,282552.818233,109342739.10702561,333057.98332
dydx,CROSS,DOT-USD,10,3.7738113,104361.342,244811.0,923870.5181643
hyperliquid,CROSS,DOT-USD,10,3.7275,3004115.77343,1561878.580249497,5821902.40788
drift,CROSS,DRIFT-USD,5,0.509906,63076.614277,5606804.0,2858943.000424
dydx,CROSS,DRIFT-USD,5,0.5117244125,136027.202,35040.0,17930.823414
dydx,CROSS,DYDX-USD,5,0.638139593,8400.536,1198580.0,764861.35337794
hyperliquid,CROSS,DYDX-USD,5,0.6316,527118.9038170003,3769795.8210892966,2381003.0406
drift,CROSS,DYM-USD,5,0.242627,0.0,547.0,132.716969
dydx,CROSS,DYM-USD,5,0.236140553,814.723,57945.0,13683.164343585
hyperliquid,CROSS,DYM-USD,3,0.2334,277126.9106,3208063.261036847,748761.965126
dydx,ISOLATED,EGLD-USD,20,14.52927349,0.0,584.1,8486.548645509
dydx,CROSS,EIGEN-USD,5,1.28293585,26645.554,33405.0,42856.472069250005
hyperliquid,CROSS,EIGEN-USD,5,1.268,1839664.7981340003,3092018.881826498,3920679.9421559996
dydx,ISOLATED,ELX-USD,20,0.1392278601,0.0,2620.0,364.77699346199995
dydx,CROSS,ENA-USD,5,0.64469,478829.387,1262580.0,813972.7002
hyperliquid,CROSS,ENA-USD,10,0.63445,113266453.8339,403711470.96779895,256134742.75552002
dydx,ISOLATED,ENJ-USD,20,0.0669993561,0.0,51700.0,3463.8667103700004
dydx,CROSS,ENS-USD,5,24.57,1687.467,1279.9,31447.143000000004
hyperliquid,CROSS,ENS-USD,5,24.325,648421.31192,529162.8922507708,12871887.354
dydx,ISOLATED,ERA-USD,5,0.843533125,8476.375,231.0,194.856151875
dydx,ISOLATED,ES-USD,5,0.16699332,16.91,240.0,40.0783968
dydx,CROSS,ETC-USD,10,20.86,78147.21,4755.2,99193.472
hyperliquid,CROSS,ETC-USD,5,20.725,751643.4994399999,106793.60791797345,2213297.5241
drift,CROSS,ETH-USD,101,4146.693293,225655634.323958,18436.123,76448947.59302305
dydx,CROSS,ETH-USD,50,4155.693765,166480977.1623,13325.589,55377067.12225258
